Project,Maintenance codename,URL,Project alive?,Bundled?,Intention,Last sync/review date,Version,Minimum requirements,Unit test?,Health check?,Notes
php-mail-signature,,https://github.com/louisameline/php-mail-signature,Yes,Yes,Re-sync regularly,N/A,1.2,PHP 5.3+,N/A,N/A,"DKIM support. Lots of modifications, so must re-sync by hand from commits"
Plupload,,https://github.com/moxiecode/plupload,No,Yes,Re-sync regularly,9th Apr 2020,3.1.2,N/A,N/A,N/A,"Consider ripping out and replacing with pure ""HTML5"" solution. Use dev versions of movie and plupload code into plupload.js, but set MXI_DEBUG to false. Do /s/(return|param|type) \{([\w\|]+)\}/\1 \2/"
SabreDAV,,https://github.com/sabre-io/dav,Yes,No,Re-sync regularly,18th Oct 2024,4.6.0,PHP 7.1+,webdav,N/A,"cd sources_custom/sabredav ; composer require sabre/dav. Delete any directories named: examples, tests, bin. Grep old code (including in vendor) for fork changes labelled 'Composr'."
Select2,,https://github.com/select2/select2,Yes,Yes,Re-sync regularly,21st Feb 2024,4.0.13,IE9+,N/A,N/A,select2.full.js. Keep Tempcode wrapping around the JS. Language strings are inserted into the JS.
Sew,,https://github.com/andrewsnowden/jquery-sew,No,Yes,No action,N/A,N/A,IE9+,N/A,N/A,Heavily-forked and patched with third party changes.
SimpleTest,,https://github.com/simpletest/simpletest,Yes,No,Re-sync regularly,21st Feb 2024,1.2.0,PHP 7.1+,N/A,N/A,Made some cms_ini_set changes
Skitter,,https://github.com/thiagosf/skitter,No,Yes,Re-sync regularly,21st Feb 2024,5.1.7,IE9+,N/A,N/A,"dist folder (CSS, unminified JS), images folder, unminify CSS (https://www.freeformatter.com/css-beautifier.html), update image references in CSS to use $IMG symbol. Put https://github.com/gdsmith/jquery.easing/blob/master/jquery.easing.js at top of skitter.js"
SoundManager2,,https://github.com/scottschiller/SoundManager2,No,Yes,Re-sync regularly,5th Apr 2020,2.97a.20170601,IE5+,N/A,N/A,Maybe replace with simpler API in future
Spectrum,,https://github.com/bgrins/spectrum,No,Yes,Re-sync regularly. Remove when browsers don't need it,21st Feb 2024,1.8.0,IE9+,N/A,N/A,Drop when we drop IE11 support. In JS file some settings are remapped as language strings.
Stemmer,,https://tartarus.org/martin/PorterStemmer/php.txt,No,Yes,No action,N/A,N/A,N/A,lang_stemmer,N/A,
Text_Diff,,https://pear.php.net/package/Text_Diff,No,Yes,No action,20th Apr 2021,1.2.2,N/A,diff,N/A,"The newer Horde-maintained version has a lot of dependencies, over-complex for a simple diff library. For what we've used we had to comment some assert calls for PHP 7.2 compatibility, changed some 'each' to 'current'/'next' for PHP 8.0 compatibility, and made some changes for the CQC to pass."
Toastify,,https://github.com/apvarun/toastify-js,Yes,Yes,Re-sync regularly,21st Feb 2024,1.12.0,N/A,N/A,N/A,toastify CSS class altered
Unslider,,https://github.com/idiot/unslider,No,No,No action,31st Mar 2020,N/A,IE9+,N/A,N/A,"Library is not maintained, but there are some embedded jQuery libraries that needed updated for the newest jQuery - and that's now done."
xsl_mopup.js,,,No,Yes,"Remove when Firefox doesn't need it, unlikely to happen",N/A,N/A,N/A,N/A,N/A,
Web Font Loader,,https://github.com/typekit/webfontloader,No,Yes,Re-sync regularly,21st Feb 2024,1.6.28,N/A,N/A,N/A,
php-imap2,php_imap2,https://github.com/javanile/php-imap2,Yes,Yes,Re-sync regularly,21st Feb 2024,0.1.10,PHP 7.0+,_protocol_imap,IMAP login,
Pace.js,,https://codebyzach.github.io/pace/,Yes,Yes,Re-sync regularly,2nd Jan 2025,1.2.4,N/A,N/A,N/A,"Add a 'use strict' in pace.js if not already there. Also download the 'Flat Top' theme CSS and save as 'pace.css'; replace background with Tempcode $GET,seed; move z-index from '.pace .pace-progress' to '.pace'"
